agency,agency_code,pen_year,company,city,county,street_address,state,zip,description,naics,info_source,notes,unique_id,current_parent_name,curr_ISIN,curr_cik,load_day,penalty,sub_penalty,penalty_adjusted,orig_id,civil_criminal,npa_dpa,offense_group,primary_offense,secondary_offense,naics_tr,case_id,facility_name,penalty_date,govt_level,case_category,court,litigation_case_title,lawsuit_resolution,pacer_link,reporting_date_parent,hist_ISIN,hist_cik,history_recap
Nebraska Department of Environmental Quality,NE-ENV,2010,Abengoa Bioenergy Corporation,,York,,NE,,air pollution violation,,http://deq.ne.gov/Press.nsf/Judicial_2010.xsp,,3682718,Abengoa,ES0105200002,,20210225,30000,0,30000,,civil,,environment-related offenses,environmental violation,,,,,20100311,state,agency action,,,,,Abengoa,ES0105200002,,
Federal Railroad Administration,FRA,2015,Abengoa Bioenergy Corporation,,,,,,,,https://railroads.dot.gov/elibrary/fiscal-year-2016-enforcement-report,,209621,Abengoa,ES0105200002,,20170111,10000,0,10000,,civil,,safety-related offenses,railroad safety violation,,,,,20151202,federal,agency action,,,,,Abengoa,ES0105200002,,
Nebraska Department of Environmental Quality,NE-ENV,2014,"Abengoa Bioenergy of Nebraska, LLC",,,,NE,,air pollution violation,,http://deq.ne.gov/Press.nsf/Judicial_2014.xsp,,3682679,Abengoa,ES0105200002,,20210225,60000,0,60000,,civil,,environment-related offenses,environmental violation,,,,,20141024,state,agency action,,,,,Abengoa,ES0105200002,,
Occupational Safety & Health Administration,OSHA,2015,"ABENGOA BIOENERGY OF NEBRASKA, LLC",RAVENNA,,35955 NAVAHO RD.,NE,68869,,325193,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5542435,Abengoa,ES0105200002,,20220918,8271,0,8271,340166339,civil,,safety-related offenses,workplace safety or health violation,,325193: Ethyl Alcohol Manufacturing,,"ABENGOA BIOENERGY OF NEBRASKA, LLC",20150106,federal,agency action,,,,,Abengoa,ES0105200002,,
Federal Railroad Administration,FRA,2015,"Abengoa Bioenergy Operations, LLC",,,,,,,,https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA,,193221,Abengoa,ES0105200002,,20160603,10000,0,10000,,civil,,safety-related offenses,railroad safety violation,,,,,20150224,federal,agency action,,,,,Abengoa,ES0105200002,,
Federal Railroad Administration,FRA,2006,"Abengoa Bioenergy Operations, LLC",,,,,,,,Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ,,752749,Abengoa,ES0105200002,,20170719,8000,0,8000,,civil,,safety-related offenses,railroad safety violation,,,,,20061129,federal,agency action,,,,,Abengoa,ES0105200002,,
Federal Railroad Administration,FRA,2006,"Abengoa Bioenergy Operations, LLC",,,,,,,,Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ,,752748,Abengoa,ES0105200002,,20170719,6000,0,6000,,civil,,safety-related offenses,railroad safety violation,,,,,20061107,federal,agency action,,,,,Abengoa,ES0105200002,,
Nebraska Department of Environmental Quality,NE-ENV,2010,"Abengoa Bioengery of Nebraska, LLC",,Buffalo,,NE,,air pollution violation,,http://deq.ne.gov/Press.nsf/Judicial_2010.xsp,,3682719,Abengoa,ES0105200002,,20210225,73500,0,73500,,civil,,environment-related offenses,environmental violation,,,,,20100310,state,agency action,,,,,Abengoa,ES0105200002,,
Labor Department Wage and Hour Division,WHD,2009,"Abengoa Solar, Inc",Denver,,,CO,80215,,221119,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",706148,Abengoa,ES0105200002,,20170322,7509,0,7509,1551283,civil,,employment-related offenses,wage and hour violation,Fair Labor Standards Act,221119: Other Electric Power Generation,1551283,,20091014,federal,agency action,,,,,Abengoa,ES0105200002,,
,,2005,Abercombie & Fitch Co.,,,,,,racial discrimination,,https://www.clearinghouse.net/detail.php?id=9472&search=source%7Cgeneral%3BcaseName%7Cgonzalez%3Borderby%7CfilingYear%3B,,2957786,Abercrombie & Fitch,US0028962076,1018840,20181209,40000000,0,40000000,,civil,,employment-related offenses,employment discrimination,,,3:03-cv-2817,,20050415,federal,private litigation,Northern District of California,Gonzalez et al v. Abercombie & Fitch Co. et al,settlement,https://ecf.cand.uscourts.gov/cgi-bin/DktRpt.pl?13480,Abercrombie & Fitch,US0028962076,1018840,
,,2016,Abercrombie & Fitch,,,,,,overtime violation,,,,2096673,Abercrombie & Fitch,US0028962076,1018840,20180506,5250000,0,5250000,,civil,,employment-related offenses,wage and hour violation,,,15-cv-6187,,20160906,federal,private litigation,Western District of New York,Robbins et al v. Abercrombie & Fitch Co et al,settlement,https://ecf.nywd.uscourts.gov/cgi-bin/DktRpt.pl?102402,Abercrombie & Fitch,US0028962076,1018840,
,,2014,Abercrombie & Fitch,,,,PA,,overtime violation,,https://www.law360.com/articles/522666/pa-judge-approves-abercrombie-ot-class-action-settlement,,2096967,Abercrombie & Fitch,US0028962076,1018840,20180506,575000,0,575000,,civil,,employment-related offenses,wage and hour violation,,,121102571,,20140327,state,private litigation,Philadelphia Court of Common Pleas,Oliver v. Abercrombie & Fitch Co.,settlement,,Abercrombie & Fitch,US0028962076,1018840,
,,2005,Abercrombie & Fitch,,,,CA,,misclassification,,2-7 Mealey's Litig. Rep. Employ. L. 18 (2006),,2097548,Abercrombie & Fitch,US0028962076,1018840,20180506,2000000,0,2000000,,civil,,employment-related offenses,wage and hour violation,,,BC277359,,20050825,state,private litigation,"Superior Court of State of California, County of Los Angeles","BRYAN T. KIMBELL vs. ABERCROMBIE & FITCH STORES, INC.",settlement,,Abercrombie & Fitch,US0028962076,1018840,
,,2009,Abercrombie & Fitch,,,,,,misclassification,,https://www.law360.com/articles/104564/abercrombie-flsa-suit-deal-gets-judge-s-blessing,,2097390,Abercrombie & Fitch,US0028962076,1018840,20180506,150000,0,150000,,civil,,employment-related offenses,wage and hour violation,,,08-cv-1859,,20091006,federal,private litigation,Southern District of New York,Davis et al v. Abercrombie & Fitch Co et al,settlement,https://ecf.nysd.uscourts.gov/cgi-bin/DktRpt.pl?321528,Abercrombie & Fitch,US0028962076,1018840,
,,2016,Abercrombie & Fitch,,,,CA,,meal/rest break violation,,https://www.law360.com/articles/790544/abercrombie-workers-near-2m-deal-for-rest-break-claims,The case concerned California-mandated rest breaks.,2096707,Abercrombie & Fitch,US0028962076,1018840,20180506,2000000,0,2000000,,civil,,employment-related offenses,wage and hour violation,,,BC499281,,20160615,state,private litigation,"Superior Court of State of California, County of Los Angeles",JESSICA APARICIO vs. ABERCROMBIE & FITCH STORES INC,settlement,,Abercrombie & Fitch,US0028962076,1018840,
,,2018,Abercrombie & Fitch,,,,,,clothing purchase dispute,,https://www.law360.com/articles/1006500/abercrombie-shells-out-25m-to-end-worker-clothing-suits,The case centered on the company's policy of requiring employees to purchase the clothing they were being paid to sell but not reimbursing them for the cost. The settlement also covered a related case in the same court: Brown v. Abercrombie & Fitch (17-cv-01093).,2096446,Abercrombie & Fitch,US0028962076,1018840,20180506,25000000,0,25000000,,civil,,employment-related offenses,wage and hour violation,,,16-cv-0551,,20180126,federal,private litigation,Southern District of Ohio,Alma Bojorquez et al v. Abercrombie and Fitch Co. et al,settlement,https://ecf.ohsd.uscourts.gov/cgi-bin/DktRpt.pl?194641,Abercrombie & Fitch,US0028962076,1018840,
,,2017,Abercrombie & Fitch,,,,,,,,https://www.law360.com/articles/906295/judge-oks-abercrombie-s-700k-deal-in-worker-seating-suit,Suitable seating case under the California Wage Order.,2096574,Abercrombie & Fitch,US0028962076,1018840,20180506,700000,0,700000,,civil,,employment-related offenses,wage and hour violation,,,11-cv-9754,,20170404,federal,private litigation,Central District of California,Amber Echavez v. Abercrombie And Fitch Co Inc et al,settlement,https://ecf.cacd.uscourts.gov/cgi-bin/DktRpt.pl?518150,Abercrombie & Fitch,US0028962076,1018840,
Occupational Safety & Health Administration,OSHA,2015,ABERCROMBIE & FITCH,EL PASO,,8401 GATEWAY BLVD. W,TX,79925,,448110,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5548256,Abercrombie & Fitch,US0028962076,1018840,20220918,8400,0,8400,340782796,civil,,safety-related offenses,workplace safety or health violation,,448110: Men's Clothing Stores,,ABERCROMBIE & FITCH,20150717,federal,agency action,,,,,Abercrombie & Fitch,US0028962076,1018840,
Labor Department Wage and Hour Division,WHD,2020,Abercrombie & Fitch Co.,Escondido,,272 E. Via Rancho Pkwy,CA,92025,,448140,"September 14, 2020 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",3646128,Abercrombie & Fitch,US0028962076,1018840,20200921,11052,0,11052,,civil,,employment-related offenses,wage and hour violation,child labor or youth employment violation,448140: Family Clothing Stores,1905090,,20200306,federal,agency action,,,,,Abercrombie & Fitch,US0028962076,1018840,
Justice Department Civil Rights Division,DOJ_RIGHTS,2015,Abercrombie & Fitch Inc.,,,,,,The Justice Department reached an agreement with Abercrombie & Fitch Inc. resolving a complaint filed with the Office of Special Counsel for Immigration-Related Unfair Employment Practices claiming that the company discriminated against a non-U.S. citizen in violation of the Immigration and Nationality Act.,,https://www.justice.gov/opa/pr/justice-department-settles-immigration-related-discrimination-claim-against-abercrombie-fitch,,210638,Abercrombie & Fitch,US0028962076,1018840,20170117,157593,0,157593,,civil,,employment-related offenses,employment discrimination,,,,,20150625,federal,agency action,,,,,Abercrombie & Fitch,US0028962076,1018840,
Occupational Safety & Health Administration,OSHA,2014,ABERCROMBIE & FITCH STORES INC,IRVINE,,71 FORTUNE DR. STE. 926,CA,92618,,448110,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5518004,Abercrombie & Fitch,US0028962076,1018840,20220918,9000,0,9000,317386357,civil,,safety-related offenses,workplace safety or health violation,,448110: Men's Clothing Stores,,ABERCROMBIE & FITCH STORES INC,20140128,federal,agency action,,,,,Abercrombie & Fitch,US0028962076,1018840,
Equal Employment Opportunity Commission,EEOC,2013,Abercrombie & Fitch Stores Inc.,,,,,,Religion,,https://www.eeoc.gov/eeoc/newsroom/release/9-23-13c.cfm,Description field shows type of discrimination that EEOC had alleged.,211890,Abercrombie & Fitch,US0028962076,1018840,20170201,71000,0,71000,,civil,,employment-related offenses,employment discrimination,,,,,20130923,federal,agency action,,,,,Abercrombie & Fitch,US0028962076,1018840,
Equal Employment Opportunity Commission,EEOC,2015,Abercrombie & Fitch Stores Inc.,,,,,,Religion,,https://www.eeoc.gov/eeoc/newsroom/release/7-28-15.cfm,Description field shows type of discrimination that EEOC had alleged.,212102,Abercrombie & Fitch,US0028962076,1018840,20170201,44600,0,44600,,civil,,employment-related offenses,employment discrimination,,,,,20150728,federal,agency action,,,,,Abercrombie & Fitch,US0028962076,1018840,
Equal Employment Opportunity Commission,EEOC,2004,"Abercrombie & Fitch Stores, Inc.",,,,,,"The U.S. Equal Employment Opportunity Commission private plaintiffs announced their mutual resolution of the lawsuit entitled EEOC v. Abercrombie & Fitch Stores, Inc., Case No. CV-04-4731 SI, which was filed on November 10, 2004, in the United States District Court for the Northern District of California in San Francisco. The lawsuit alleged that Abercrombie & Fitch, which operates a nationwide chain of retail stores, violated Title VII of the Civil Rights Act of 1964 by maintaining recruiting and hiring practices that excluded minorities and women and adopting a restrictive marketing image, and other policies, which limited minority and female employment.",,https://www.eeoc.gov/eeoc/newsroom/release/archive/11-18-04.html,Description field shows type of discrimination that EEOC had alleged.,670151,Abercrombie & Fitch,US0028962076,1018840,20170321,50000000,0,50000000,,civil,,employment-related offenses,employment discrimination,,,,,20041118,federal,agency action,,,,,Abercrombie & Fitch,US0028962076,1018840,
,,2018,Abercrombie & Fitch Trading Company,,,,,,,,https://www.law360.com/articles/1064122/abercrombie-workers-ink-9-6m-deal-over-call-in-scheduling,,3174518,Abercrombie & Fitch,US0028962076,1018840,20190323,9600000,0,9600000,,civil,,employment-related offenses,wage and hour violation,,,2:15-cv-105,,20181119,federal,private litigation,Central District of California,Samantha Jones v. Abercrombie & Fitch Trading Company,settlement,https://ecf.cacd.uscourts.gov/cgi-bin/DktRpt.pl?608034,Abercrombie & Fitch,US0028962076,1018840,
Labor Department Wage and Hour Division,WHD,2015,"Abercrombie & Fitch, Inc",Elizabeth,,,NJ,7201,child labor penalties included,4539,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",672503,Abercrombie & Fitch,US0028962076,1018840,20170322,6200,0,6200,1773887,civil,,employment-related offenses,wage and hour violation,child labor or youth employment violation,4539: Other Miscellaneous Store Retailers,1773887,,20151007,federal,agency action,,,,,Abercrombie & Fitch,US0028962076,1018840,
Occupational Safety & Health Administration,OSHA,2012,HOLLISTER CO,LAKELAND,,3800 US HWY 98 N. SUITE 414,FL,33809,,448110,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5514613,Abercrombie & Fitch,US0028962076,1018840,20220918,11000,0,11000,316388826,civil,,safety-related offenses,workplace safety or health violation,,448110: Men's Clothing Stores,,HOLLISTER CO,20120215,federal,agency action,,,,,Abercrombie & Fitch,US0028962076,1018840,
Massachusetts Attorney General,MA-AG,2008,Hollister Co.,Hyannis,,,MA,,"Hollister Co. in Hyannis was cited for child labor violations and fined nearly $6,000. ",,https://web.archive.org/web/20080719152259/http://www.mass.gov/?pageID=cagopressrelease&L=1&L0=Home&sid=Cago&b=pressrelease&f=2008_01_16_child_labor_violations&csid=Cago,,3190264,Abercrombie & Fitch,US0028962076,1018840,20190907,6000,0,6000,,civil,,employment-related offenses,wage and hour violation,child labor or youth employment violation,,,,20080116,state,agency action,,,,,Abercrombie & Fitch,US0028962076,1018840,
Occupational Safety & Health Administration,OSHA,2008,HOLLISTER CORPORATION,TORRANCE,,3 DEL AMO FASHION CENTER,CA,90503,,448190,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5477113,Abercrombie & Fitch,US0028962076,1018840,20220918,8150,0,8150,309908408,civil,,safety-related offenses,workplace safety or health violation,,448190: Other Clothing Stores,,HOLLISTER CORPORATION,20080222,federal,agency action,,,,,Abercrombie & Fitch,US0028962076,1018840,
